"","State_Name","State_Abbreviation","County_Name","County_FIPS_Code","StudyYear","UNR_16","FUNR_16","MUNR_16","UNR_20to64","FUNR_20to64","MUNR_20to64","FLFPR_20to64","FLFPR_20to64_Under6","FLFPR_20to64_6to17","FLFPR_20to64_Under6_6to17","MLFPR_20to64","PR_F","PR_P","MHI","ME","FME","MME","MHI_2018","ME_2018","FME_2018","MME_2018","TotalPop","OneRace","OneRace_W","OneRace_B","OneRace_I","OneRace_A","OneRace_H","OneRace_Other","TwoRaces","Hispanic","Households","H_Under6_BothWork","H_Under6_FWork","H_Under6_MWork","H_Under6_SingleM","H_6to17_BothWork","H_6to17_Fwork","H_6to17_Mwork","H_6to17_SingleM","EMP_M","MEMP_M","FEMP_M","EMP_Service","MEMP_Service","FEMP_Service","EMP_Sales","MEMP_Sales","FEMP_Sales","EMP_N","MEMP_N","FEMP_N","EMP_P","MEMP_P","FEMP_P","iUNR_16","iFUNR_16","iMUNR_16","iUNR_20to64","iFUNR_20to64","iMUNR_20to64","iFLFPR_20to64","iFLFPR_20to64_Under6","iFLFPR_20to64_6to17","iFLFPR_20to64_Under6_6to17","iMLFPR_20to64","iPR_F","iPR_P","iMHI","iME","iFME","iMME","iMHI_2018","iME_2018","iFME_2018","iMME_2018","iTotalPop","iOneRace","iOneRace_W","iOneRace_B","iOneRace_I","iOneRace_A","iOneRace_H","iOneRace_Other","iTwoRaces","iHispanic","iHouseholds","iH_Under6_BothWork","iH_Under6_FWork","iH_Under6_MWork","iH_Under6_SingleM","iH_6to17_BothWork","iH_6to17_Fwork","iH_6to17_Mwork","iH_6to17_SingleM","iEMP_M","iMEMP_M","iFEMP_M","iEMP_Service","iMEMP_Service","iFEMP_Service","iEMP_Sales","iMEMP_Sales","iFEMP_Sales","iEMP_N","iMEMP_N","iFEMP_N","iEMP_P","iMEMP_P","iFEMP_P","MCBto5","MC6to11","MC12to17","MC18to23","MC24to29","MC30to35","MC36to41","MC42to47","MC48to53","MC54toSA","MCSA","MFCCBto5","MFCC6to11","MFCC12to17","MFCC18to23","MFCC24to29","MFCC30to35","MFCC36to41","MFCC42to47","MFCC48to53","MFCC54toSA","MFCCSA","_75CBto5","_75C6to11","_75C12to17","_75C18to23","_75C24to29","_75C30to35","_75C36to41","_75C42to47","_75C48to53","_75C54toSA","_75CSA","_75FCCBto5","_75FCC6to11","_75FCC12to17","_75FCC18to23","_75FCC24to29","_75FCC30to35","_75FCC36to41","_75FCC42to47","_75FCC48to53","_75FCC54toSA","_75FCCSA","iMCBto5","iMC6to11","iMC12to17","iMC18to23","iMC24to29","iMC30to35","iMC36to41","iMC42to47","iMC48to53","iMC54toSA","iMCSA","iMFCCBto5","iMFCC6to11","iMFCC12to17","iMFCC18to23","iMFCC24to29","iMFCC30to35","iMFCC36to41","iMFCC42to47","iMFCC48to53","iMFCC54toSA","iMFCCSA","i_75CBto5","i_75C6to11","i_75C12to17","i_75C18to23","i_75C24to29","i_75C30to35","i_75C36to41","i_75C42to47","i_75C48to53","i_75C54toSA","i_75CSA","i_75FCCBto5","i_75FCC6to11","i_75FCC12to17","i_75FCC18to23","i_75FCC24to29","i_75FCC30to35","i_75FCC36to41","i_75FCC42to47","i_75FCC48to53","i_75FCC54toSA","i_75FCCSA","MCInfant","MCInfant_flag","MCToddler","MCToddler_flag","MCPreschool","MCPreschool_flag","_75CInfant","_75CInfant_flag","_75CToddler","_75CToddler_flag","_75CPreschool","_75CPreschool_flag","MFCCInfant","MFCCInfant_flag","MFCCToddler","MFCCToddler_flag","MFCCPreschool","MFCCPreschool_flag","_75FCCInfant","_75FCCInfant_flag","_75FCCToddler","_75FCCToddler_flag","_75FCCPreschool","_75FCCPreschool_flag"
"1","California","CA","Alameda County","06001",2008,6.6,6.6,6.6,6.1,6.1,6.1,72.1,62.3,80.5,66,83.9,7.6,10.8,70079,38788,33326,43731,80591,44606,38325,50291,1457169,96,47.3,12.9,0.5,24.6,0.8,9.9,4,21.4,518352,45266,34334,1986,23567,92620,45533,5581,49894,42.9,41.1,45,14.6,12.2,17.2,24.3,17.8,31.8,8.4,15.1,0.6,9.9,13.8,5.4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,301.77,301.77,301.77,301.77,214.22,214.22,214.22,214.22,214.22,214.22,154.83,192.32,192.32,192.32,192.32,178.26,178.26,178.26,178.26,178.26,178.26,144.21,415.47,415.47,415.47,415.47,331.35,331.35,331.35,331.35,331.35,331.35,195.33,217.95,217.95,217.95,217.95,196.92,196.92,196.92,196.92,196.92,196.92,160.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,301.77,1,214.22,1,214.22,1,415.47,1,331.35,1,331.35,1,192.32,1,178.26,1,178.26,1,217.95,1,196.92,1,196.92,1
"2","California","CA","Alameda County","06001",2009,7.7,7.5,7.9,7.2,7.1,7.3,72.1,62.5,79.8,65.4,84.4,7.8,10.9,68863,38754,33641,43454,80570,45342,39360,50841,1457095,95.7,47,12.9,0.5,24.6,0.7,10,4.3,21.3,520096,46187,35158,2601,24166,90350,44606,6222,48241,44,42.3,46,14.2,12,16.8,24.1,17.7,31.4,8,14.4,0.6,9.8,13.7,5.2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,312.76,312.76,312.76,312.76,234.23,234.23,234.23,234.23,234.23,234.23,169.31,199.98,199.98,199.98,199.98,178.56,178.56,178.56,178.56,178.56,178.56,146.01,413.98,413.98,413.98,413.98,327.91,327.91,327.91,327.91,327.91,327.91,211.61,226.66,226.66,226.66,226.66,204.32,204.32,204.32,204.32,204.32,204.32,154.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.76,1,234.23,1,234.23,1,413.98,1,327.91,1,327.91,1,199.98,1,178.56,1,178.56,1,226.66,1,204.32,1,204.32,1
"3","California","CA","Alameda County","06001",2010,8.5,8.2,8.7,7.9,7.7,8.1,72.5,64.3,78.6,64.4,84,7.9,11.4,69384,38782,33496,43340,80485,44987,38855,50274,1477980,95.3,45.8,12.6,0.5,26,0.8,9.6,4.7,21.9,532026,45662,30916,2192,24690,92148,44421,5783,50170,44.1,42.6,45.8,14.9,12.2,17.9,23.7,17.5,30.6,7.5,13.8,0.6,9.7,13.8,5.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,313.14,313.14,313.14,313.14,234.95,234.95,234.95,234.95,234.95,234.95,182.19,201.32,201.32,201.32,201.32,181.19,181.19,181.19,181.19,181.19,181.19,139.5,412.49,412.49,412.49,412.49,324.47,324.47,324.47,324.47,324.47,324.47,227.89,235.37,235.37,235.37,235.37,211.72,211.72,211.72,211.72,211.72,211.72,157.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,313.14,1,234.95,1,234.95,1,412.49,1,324.47,1,324.47,1,201.32,1,181.19,1,181.19,1,235.37,1,211.72,1,211.72,1
"4","California","CA","Alameda County","06001",2011,9.2,8.9,9.5,8.7,8.4,8.9,72.5,65.6,77.7,63.7,84,8.2,11.8,70821,39586,34240,43909,79320,44336,38349,49178,1494876,95,46.2,12.5,0.5,26.2,0.8,8.8,5,22.2,536160,46773,29698,2074,25911,92516,44209,5915,50128,44.6,43,46.3,15.4,12.6,18.4,23.2,17.5,29.6,7.3,13.2,0.6,9.6,13.6,5.2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,313.53,313.53,313.53,313.53,235.68,235.68,235.68,235.68,235.68,235.68,195.06,202.66,202.66,202.66,202.66,183.83,183.83,183.83,183.83,183.83,183.83,132.99,411.01,411.01,411.01,411.01,321.04,321.04,321.04,321.04,321.04,321.04,244.18,244.08,244.08,244.08,244.08,219.11,219.11,219.11,219.11,219.11,219.11,161.76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,313.53,1,235.68,1,235.68,1,411.01,1,321.04,1,321.04,1,202.66,1,183.83,1,183.83,1,244.08,1,219.11,1,219.11,1
"5","California","CA","Alameda County","06001",2012,9.9,9.7,10.1,9.3,9.2,9.5,73,66.5,77.2,63.3,84.1,8.4,12,71516,40138,34605,44341,78668,44152,38066,48775,1515136,94.4,45.9,12.3,0.6,26.4,0.8,8.4,5.6,22.4,539179,48132,29285,2283,25464,94824,43942,5760,50200,45.2,43.7,46.9,15.8,13,18.9,22.7,17.3,28.8,6.8,12.4,0.6,9.5,13.7,4.9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,313.91,313.91,313.91,313.91,236.4,236.4,236.4,236.4,236.4,236.4,207.94,204,204,204,204,186.46,186.46,186.46,186.46,186.46,186.46,126.48,409.52,409.52,409.52,409.52,317.6,317.6,317.6,317.6,317.6,317.6,260.46,252.79,252.79,252.79,252.79,226.51,226.51,226.51,226.51,226.51,226.51,165.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.91,1,236.4,1,236.4,1,409.52,1,317.6,1,317.6,1,204,1,186.46,1,186.46,1,252.79,1,226.51,1,226.51,1
"6","California","CA","Alameda County","06001",2013,10.3,10.2,10.5,9.7,9.6,9.9,72.9,66.7,76.7,62.9,84.1,8.6,12.5,72112,40065,34671,43997,77881,43270,37445,47517,1535248,94.1,45.6,12.1,0.6,26.8,0.8,8.3,5.9,22.5,545071,48696,28510,2144,24631,95794,45338,5705,49345,45.6,44.1,47.4,15.9,13.1,18.9,22.5,17.2,28.4,6.6,12,0.6,9.4,13.6,4.8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,311.92,311.92,311.92,311.92,231.57,231.57,231.57,231.57,231.57,231.57,191.93,204.1,204.1,204.1,204.1,191.18,191.18,191.18,191.18,191.18,191.18,138.61,402.99,402.99,402.99,402.99,302.6,302.6,302.6,302.6,302.6,302.6,238.32,252.53,252.53,252.53,252.53,231.43,231.43,231.43,231.43,231.43,231.43,171.59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,311.92,1,231.57,1,231.57,1,402.99,1,302.6,1,302.6,1,204.1,1,191.18,1,191.18,1,252.53,1,231.43,1,231.43,1
"7","California","CA","Alameda County","06001",2014,9.6,9.6,9.6,9,9.1,9,72.5,66.7,76.4,62.6,84.1,8.8,12.9,73775,39997,34582,44344,78202,42397,36657,47005,1559308,93.9,45.3,11.9,0.6,27.2,0.8,8.1,6.1,22.6,551734,49944,28661,2024,24029,96421,45971,5709,48312,46,44.3,47.9,16.3,13.6,19.4,22,17,27.6,6.5,11.7,0.6,9.3,13.5,4.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,309.92,309.92,309.92,309.92,226.74,226.74,226.74,226.74,226.74,226.74,175.91,204.19,204.19,204.19,204.19,195.89,195.89,195.89,195.89,195.89,195.89,150.74,396.46,396.46,396.46,396.46,287.59,287.59,287.59,287.59,287.59,287.59,216.17,252.27,252.27,252.27,252.27,236.34,236.34,236.34,236.34,236.34,236.34,177.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.92,1,226.74,1,226.74,1,396.46,1,287.59,1,287.59,1,204.19,1,195.89,1,195.89,1,252.27,1,236.34,1,236.34,1
"8","California","CA","Alameda County","06001",2015,8.3,8.4,8.1,7.8,8,7.6,72.6,68.4,76,62.3,84.7,8.5,12.5,75619,40350,35040,45011,80156,42771,37142,47712,1584983,93.8,44.7,11.7,0.6,27.7,0.9,8.3,6.2,22.6,558907,50086,30179,2244,22890,96491,47419,5415,48748,46.6,45.1,48.3,16.2,13.5,19.3,21.5,16.4,27.2,6.5,11.7,0.6,9.3,13.3,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,343.86,343.86,343.86,343.86,250.57,250.57,250.57,250.57,250.57,250.57,188.73,228.05,228.05,228.05,228.05,214.69,214.69,214.69,214.69,214.69,214.69,165.86,408.94,408.94,408.94,408.94,318.13,318.13,318.13,318.13,318.13,318.13,232.55,278.35,278.35,278.35,278.35,266.32,266.32,266.32,266.32,266.32,266.32,203.49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,343.86,1,250.57,1,250.57,1,408.94,1,318.13,1,318.13,1,228.05,1,214.69,1,214.69,1,278.35,1,266.32,1,266.32,1
"9","California","CA","Alameda County","06001",2016,7.1,7.3,6.9,6.7,7,6.4,72.6,68.5,76,59.8,85.1,8.1,12,79831,41381,36134,47148,83823,43450,37941,49505,1605217,93.6,43.9,11.3,0.6,28.2,0.9,8.8,6.4,22.6,564293,49973,31417,2453,22200,99162,48214,5505,47116,47.6,46.1,49.3,16,13.2,19.1,21,16.1,26.6,6.4,11.5,0.6,9,13.1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,377.8,377.8,377.8,377.8,274.39,274.39,274.39,274.39,274.39,274.39,201.54,251.91,251.91,251.91,251.91,233.48,233.48,233.48,233.48,233.48,233.48,180.97,421.41,421.41,421.41,421.41,348.67,348.67,348.67,348.67,348.67,348.67,248.92,304.42,304.42,304.42,304.42,296.3,296.3,296.3,296.3,296.3,296.3,229.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.8,1,274.39,1,274.39,1,421.41,1,348.67,1,348.67,1,251.91,1,233.48,1,233.48,1,304.42,1,296.3,1,296.3,1
"10","California","CA","Alameda County","06001",2017,6.1,6.1,6,5.7,5.7,5.7,72.9,68.7,76.1,60.3,85.4,7.4,11.3,85743,42958,38066,50096,88315,44247,39208,51599,1629615,93.6,42.6,11.1,0.6,28.9,0.8,9.5,6.4,22.5,569070,51023,31481,2435,21330,99446,48020,5647,46833,48,46.4,49.9,16,13.3,19,20.5,15.8,25.7,6.4,11.4,0.6,9.2,13.1,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,385.5,385.5,385.5,385.5,289.78,289.78,289.78,289.78,289.78,289.78,212.66,271.1,271.1,271.1,271.1,245.36,245.36,245.36,245.36,245.36,245.36,183.82,445.95,445.95,445.95,445.95,366.93,366.93,366.93,366.93,366.93,366.93,275.09,325.2,325.2,325.2,325.2,312.73,312.73,312.73,312.73,312.73,312.73,253.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,385.5,1,289.78,1,289.78,1,445.95,1,366.93,1,366.93,1,271.1,1,245.36,1,245.36,1,325.2,1,312.73,1,312.73,1
"11","California","CA","Alameda County","06001",2018,5.1,5.1,5,4.8,4.8,4.7,73.2,69.1,76,61.8,85.7,6.8,10.6,92574,47416,40836,53410,92574,47416,40836,53410,1643700,93.7,41.5,10.8,0.7,29.6,0.8,10.3,6.3,22.5,572870,52718,31463,2273,20412,100100,48045,5783,46453,49.1,47.8,50.7,15.8,13.1,18.8,18.8,14,24.3,6.2,11.2,0.6,10,13.9,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,393.2,393.2,393.2,393.2,305.16,305.16,305.16,305.16,305.16,305.16,223.78,290.28,290.28,290.28,290.28,257.23,257.23,257.23,257.23,257.23,257.23,186.66,470.49,470.49,470.49,470.49,385.18,385.18,385.18,385.18,385.18,385.18,301.25,345.98,345.98,345.98,345.98,329.16,329.16,329.16,329.16,329.16,329.16,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.2,1,305.16,1,305.16,1,470.49,1,385.18,1,385.18,1,290.28,1,257.23,1,257.23,1,345.98,1,329.16,1,329.16,1
"12","California","CA","Alpine County","06003",2008,14.1,3,23.2,15,3.1,24.2,81.9,59.6,69.1,100,84,6.4,13,53191,29463,24787,32478,61169,33883,28505,37350,1159,96.5,72.4,0.1,21.4,2.3,0,0.4,3.5,2.9,448,27,1,1,8,92,26,2,35,31.2,27.4,35.8,27.4,32.2,21.4,23,12,36.5,11.6,18.9,2.6,6.9,9.5,3.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,270.26,270.26,270.26,270.26,176.13,176.13,176.13,176.13,176.13,176.13,140.85,179.2,179.2,179.2,179.2,156.82,156.82,156.82,156.82,156.82,156.82,128.57,373.29,373.29,373.29,373.29,329.22,329.22,329.22,329.22,329.22,329.22,195.93,207.16,207.16,207.16,207.16,203.18,203.18,203.18,203.18,203.18,203.18,153.23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,270.26,1,176.13,1,176.13,1,373.29,1,329.22,1,329.22,1,179.2,1,156.82,1,156.82,1,207.16,1,203.18,1,203.18,1
"13","California","CA","Alpine County","06003",2009,15.3,3,26.3,16.3,3.1,27.8,82.2,59.1,68.5,100,83.5,5.7,12.2,54605,30545,25833,33272,63888,35738,30225,38928,1153,96.7,72.2,0,21.7,2.5,0,0.3,3.3,2.3,444,29,0,0,7,100,20,0,33,47.4,36.9,56.1,14.2,13.7,14.6,14,1.7,24.4,15.3,33.6,0,9.1,14.1,4.9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,292.31,292.31,292.31,292.31,205.82,205.82,205.82,205.82,205.82,205.82,153.92,160.37,160.37,160.37,160.37,152.7,152.7,152.7,152.7,152.7,152.7,131,373.69,373.69,373.69,373.69,320.05,320.05,320.05,320.05,320.05,320.05,201.25,200.95,200.95,200.95,200.95,196.13,196.13,196.13,196.13,196.13,196.13,151.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.31,1,205.82,1,205.82,1,373.69,1,320.05,1,320.05,1,160.37,1,152.7,1,152.7,1,200.95,1,196.13,1,196.13,1
"14","California","CA","Alpine County","06003",2010,13.9,4.8,20.4,14.7,4.3,22.1,76.5,68.4,67.4,100,79.3,4.6,13.1,63478,32553,25096,33913,73634,37761,29111,39339,1176,95.5,64.5,0,23.6,4.1,0,3.4,4.5,5.4,410,41,0,0,8,75,5,0,23,50.9,44,58.9,15.2,14.8,15.7,16,11.6,21.2,8,14.8,0,9.9,14.8,4.2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,291.53,291.53,291.53,291.53,203.82,203.82,203.82,203.82,203.82,203.82,155.88,160.24,160.24,160.24,160.24,152.64,152.64,152.64,152.64,152.64,152.64,130.04,374.09,374.09,374.09,374.09,310.88,310.88,310.88,310.88,310.88,310.88,206.57,194.74,194.74,194.74,194.74,189.08,189.08,189.08,189.08,189.08,189.08,150.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,291.53,1,203.82,1,203.82,1,374.09,1,310.88,1,310.88,1,160.24,1,152.64,1,152.64,1,194.74,1,189.08,1,189.08,1
"15","California","CA","Alpine County","06003",2011,9,4.9,12.3,9.2,4,14,73.5,81,66.7,100,77.1,4.9,15.2,59018,28947,22159,32745,66100,32421,24818,36674,1167,96.8,66.1,0,20.3,3.3,1.8,5.3,3.2,7,357,31,0,0,9,82,0,0,42,48.8,40.1,58.3,17.2,17,17.5,14.9,9.4,21,8.1,15.5,0,11,18.1,3.2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,290.74,290.74,290.74,290.74,201.81,201.81,201.81,201.81,201.81,201.81,157.84,160.12,160.12,160.12,160.12,152.58,152.58,152.58,152.58,152.58,152.58,129.09,374.49,374.49,374.49,374.49,301.72,301.72,301.72,301.72,301.72,301.72,211.88,188.53,188.53,188.53,188.53,182.04,182.04,182.04,182.04,182.04,182.04,149.24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,290.74,1,201.81,1,201.81,1,374.49,1,301.72,1,301.72,1,160.12,1,152.58,1,152.58,1,188.53,1,182.04,1,182.04,1
"16","California","CA","Alpine County","06003",2012,10.3,7,13,9.9,5.1,13.9,75.1,90.3,66.3,100,77.1,2.4,13.7,59931,24286,19545,26176,65924,26715,21500,28794,1197,98.7,71.2,0,19.7,2.7,1.8,3.3,1.3,6.5,385,41,0,0,8,97,4,0,42,42.8,32.3,54.7,22.9,19.5,26.8,13.3,8.7,18.5,4.8,9,0,16.2,30.6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,289.96,289.96,289.96,289.96,199.81,199.81,199.81,199.81,199.81,199.81,159.8,159.99,159.99,159.99,159.99,152.52,152.52,152.52,152.52,152.52,152.52,128.13,374.89,374.89,374.89,374.89,292.55,292.55,292.55,292.55,292.55,292.55,217.2,182.32,182.32,182.32,182.32,174.99,174.99,174.99,174.99,174.99,174.99,147.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.96,1,199.81,1,199.81,1,374.89,1,292.55,1,292.55,1,159.99,1,152.52,1,152.52,1,182.32,1,174.99,1,174.99,1
"17","California","CA","Alpine County","06003",2013,9.9,3.5,13.9,9.8,1.1,15.7,67.1,96.2,65.8,100,75.5,6.5,16.6,58636,23846,19853,24038,63327,25754,21441,25961,1165,97.6,72.8,0.6,17.5,1.5,2.3,2.9,2.4,7.5,394,31,0,0,3,68,4,5,33,39,30.8,50.5,22.7,22.7,22.7,16.7,9.5,26.8,6.2,10.6,0,15.4,26.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,285.29,285.29,285.29,285.29,186.4,186.4,186.4,186.4,186.4,186.4,146.79,163.62,163.62,163.62,163.62,152.2,152.2,152.2,152.2,152.2,152.2,132.63,340.94,340.94,340.94,340.94,248.09,248.09,248.09,248.09,248.09,248.09,187.96,185.64,185.64,185.64,185.64,174.83,174.83,174.83,174.83,174.83,174.83,151.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,285.29,1,186.4,1,186.4,1,340.94,1,248.09,1,248.09,1,163.62,1,152.2,1,152.2,1,185.64,1,174.83,1,174.83,1
"18","California","CA","Alpine County","06003",2014,6,3.5,7.9,6.5,3.5,9,67.9,100,65.5,100,70.7,6.5,15.1,61343,21210,22500,21210,65024,22483,23850,22483,1202,94.3,71,0.9,17.3,1,1.2,2.8,5.7,7.2,377,29,0,0,2,71,21,5,54,39,31,49.1,22.8,18.1,28.6,18.8,16,22.3,7.9,14.2,0,11.5,20.6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,280.61,280.61,280.61,280.61,172.99,172.99,172.99,172.99,172.99,172.99,133.77,167.24,167.24,167.24,167.24,151.87,151.87,151.87,151.87,151.87,151.87,137.13,306.98,306.98,306.98,306.98,203.62,203.62,203.62,203.62,203.62,203.62,158.73,188.95,188.95,188.95,188.95,174.67,174.67,174.67,174.67,174.67,174.67,154.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.61,1,172.99,1,172.99,1,306.98,1,203.62,1,203.62,1,167.24,1,151.87,1,151.87,1,188.95,1,174.67,1,174.67,1
